Date,Time,Open,High,Low,Close
25/03/2019,00:00,3991.35000000,4140.00000000,3888.71000000,4103.95000000
01/04/2019,00:00,4102.44000000,5275.01000000,4067.00000000,5170.27000000
08/04/2019,00:00,5170.27000000,5422.00000000,4861.22000000,5131.30000000
15/04/2019,00:00,5131.28000000,5333.42000000,4950.00000000,5256.14000000
22/04/2019,00:00,5257.41000000,5600.00000000,5102.00000000,5307.52000000
29/04/2019,00:00,5309.81000000,5900.00000000,5178.80000000,5775.62000000
06/05/2019,00:00,5773.18000000,7521.78000000,5619.14000000,6967.31000000
13/05/2019,00:00,6968.24000000,8366.00000000,6870.00000000,8148.48000000
20/05/2019,00:00,8147.94000000,8740.00000000,7461.00000000,8614.43000000
27/05/2019,00:00,8612.54000000,9074.26000000,8005.00000000,8725.98000000
03/06/2019,00:00,8726.00000000,8800.95000000,7444.58000000,7628.13000000
10/06/2019,00:00,7627.57000000,9333.00000000,7511.00000000,8953.33000000
17/06/2019,00:00,8953.00000000,11392.64000000,8950.00000000,10906.07000000
24/06/2019,00:00,10905.95000000,13970.00000000,10525.10000000,10854.10000000
01/07/2019,00:00,10854.10000000,12000.00000000,9727.00000000,11406.24000000
08/07/2019,00:00,11410.00000000,13147.08000000,10103.00000000,10174.18000000
15/07/2019,00:00,10174.18000000,11100.00000000,9060.00000000,10589.45000000
22/07/2019,00:00,10590.15000000,10683.16000000,9165.00000000,9541.54000000
29/07/2019,00:00,9541.54000000,11040.00000000,9395.00000000,10929.23000000
05/08/2019,00:00,10929.99000000,12330.70000000,10927.80000000,11549.97000000
12/08/2019,00:00,11539.08000000,11577.89000000,9750.00000000,10306.78000000
19/08/2019,00:00,10306.17000000,10949.96000000,9762.00000000,10142.69000000
26/08/2019,00:00,10142.69000000,10604.00000000,9320.00000000,9724.98000000
02/09/2019,00:00,9723.59000000,10905.87000000,9712.50000000,10381.18000000
09/09/2019,00:00,10381.24000000,10480.00000000,9880.00000000,10302.01000000
16/09/2019,00:00,10303.34000000,10355.00000000,9653.00000000,10028.87000000
23/09/2019,00:00,10028.05000000,10049.99000000,7750.00000000,8043.82000000
30/09/2019,00:00,8043.04000000,8500.00000000,7710.00000000,7854.25000000
07/10/2019,00:00,7855.30000000,8779.51000000,7762.00000000,8275.01000000
14/10/2019,00:00,8275.24000000,8403.00000000,7816.01000000,8223.35000000
21/10/2019,00:00,8223.35000000,10370.00000000,7300.00000000,9529.93000000
28/10/2019,00:00,9528.23000000,9902.10000000,8913.00000000,9194.71000000
04/11/2019,00:00,9196.46000000,9513.68000000,8696.00000000,9039.47000000
11/11/2019,00:00,9040.16000000,9072.32000000,8350.68000000,8502.40000000
18/11/2019,00:00,8502.87000000,8503.52000000,6790.00000000,6903.28000000
25/11/2019,00:00,6900.23000000,7850.00000000,6515.00000000,7390.89000000
02/12/2019,00:00,7391.50000000,7750.00000000,7067.00000000,7510.11000000
09/12/2019,00:00,7510.11000000,7650.00000000,7008.35000000,7118.59000000
16/12/2019,00:00,7119.60000000,7518.54000000,6435.00000000,7501.44000000
23/12/2019,00:00,7500.71000000,7695.38000000,7076.42000000,7388.24000000
30/12/2019,00:00,7388.43000000,7495.00000000,6871.04000000,7358.75000000
06/01/2020,00:00,7357.64000000,8455.00000000,7346.76000000,8184.98000000
13/01/2020,00:00,8184.97000000,9198.98000000,8055.89000000,8701.70000000
20/01/2020,00:00,8701.72000000,8818.00000000,8238.00000000,8615.00000000
27/01/2020,00:00,8614.39000000,9578.00000000,8535.00000000,9331.51000000
03/02/2020,00:00,9331.59000000,10166.00000000,9093.01000000,10151.75000000
10/02/2020,00:00,10151.72000000,10500.00000000,9638.12000000,9917.27000000
17/02/2020,00:00,9910.70000000,10250.00000000,9350.00000000,9936.40000000
24/02/2020,00:00,9936.40000000,9990.00000000,8411.00000000,8531.88000000
02/03/2020,00:00,8530.30000000,9188.00000000,8000.00000000,8033.31000000
09/03/2020,00:00,8034.76000000,8179.31000000,3782.13000000,5361.30000000
16/03/2020,00:00,5360.33000000,6900.00000000,4442.12000000,5816.19000000
23/03/2020,00:00,5816.05000000,6957.96000000,5688.00000000,5881.42000000
30/03/2020,00:00,5880.50000000,7198.00000000,5857.76000000,6772.78000000
06/04/2020,00:00,6772.78000000,7459.69000000,6739.98000000,6903.79000000
13/04/2020,00:00,6903.79000000,7293.08000000,6468.27000000,7120.74000000
